reg_no,name,kana,pref,term,grade,next_grade
014578,大越 啓介,オオコシ ケイスケ,栃木,97,A3,
014579,齋藤 一茂,サイトウ カズシゲ,群馬,97,A2,
014581,佐山 俊樹,サヤマ トシキ,埼玉,97,A1,
014583,吉田 昌弘,ヨシダ マサヒロ,埼玉,97,A3,
014584,井上 嵩,イノウエ シユウ,神奈川,97,A2,
014586,近藤 寛央,コンドウ モトチカ,東京,97,A2,
014587,鈴木 謙二,スズキ ケンジ,東京,97,A1,
014589,西巻 秀太,ニシマキ シユウタ,新潟,97,A3,
014590,近藤 夏樹,コンドウ ナツキ,千葉,97,A1,
014591,本多 哲也,ホンダ テツヤ,千葉,97,A1,
014594,太田 剛司,オオタ タケシ,愛知,97,A1,
014595,瀧本 匡平,タキモト キヨウヘイ,愛知,97,A3,
014596,中村 賢二,ナカムラ ケンジ,愛知,97,A2,
014597,上田 隼,ウエダ ジユン,岐阜,97,A2,
014598,岡崎 祥伍,オカザキ シヨウゴ,岐阜,97,A2,
014600,山田 祥明,ヤマダ マサアキ,岐阜,97,A1,
014601,小竹 洋平,コタケ ヨウヘイ,福岡,97,A1,
014603,佐野 洋継,サノ ヒロツグ,京都,97,A2,
014610,山村 慮太,ヤマムラ リヨウタ,大阪,97,A3,
014612,工藤 文彦,クドウ フミヒコ,沖縄,97,A1,
014614,高橋 清太郎,タカハシ セイタロウ,岡山,97,A1,
014615,藤原 亮太,フジワラ リヨウタ,岡山,97,A2,
014619,木村 浩宣,キムラ ヒロノリ,香川,97,A1,
014620,二條 祐也,ニジヨウ ユウヤ,徳島,97,A1,
014623,飯田 裕次,イイダ ユウジ,福岡,97,A1,
014625,藤野 貴章,フジノ タカアキ,佐賀,97,A2,
014630,利根 正明,トネ キミハル,大分,97,A1,
014634,寺崎 祐樹,テラザキ ユウキ,熊本,97,A1,
014637,吉成 貴博,ヨシナリ タカヒロ,熊本,97,A2,
014638,川又 裕樹,カワマタ ユウキ,鹿児島,97,A2,
014643,菅原 洋輔,スガワラ ヨウスケ,岩手,98,A3,
014644,高橋 明久,タカハシ アキヒサ,宮城,98,A3,
014646,三浦 雄大,ミウラ ユウタ,宮城,98,A1,
014650,佐藤 裕輝,サトウ ユウキ,福島,98,A3,
014651,須永 勝太,スナガ シヨウタ,福島,98,A2,
014652,原 清孝,ハラ キヨタカ,沖縄,98,A3,
014654,舘 真成,タチ マサナリ,茨城,98,A2,
014657,野中 祐志,ノナカ ユウジ,埼玉,98,A1,
014658,馬場 和広,ババ カズヒロ,埼玉,98,A1,
014662,櫻井 宏樹,サクライ ヒロキ,東京,98,A3,
014665,小峰 烈,コミネ タケシ,長野,98,A1,
014666,等々力 久就,トドリキ ヒサナリ,長野,98,A3,
014667,藤本 龍也,フジモト リユウヤ,長野,98,A3,
014669,植木 和広,ウエキ カズヒロ,神奈川,98,A1,
014671,山田 裕哉,ヤマダ ユウヤ,岐阜,98,A2,
014672,吉田 茂生,ヨシダ シゲキ,岐阜,98,A1,
014673,松田 大,マツダ ダイ,富山,98,A1,
014674,丹波 孝佑,タンバ コウスケ,大阪,98,A1,
014676,柳原 司,ヤナギハラ ツカサ,大阪,98,A2,
014678,樋口 有樹郎,ヒグチ ユキオ,兵庫,98,A3,
014679,小玉 拓真,コダマ タクマ,岡山,98,A1,
014684,松本 卓也,マツモト タクヤ,徳島,98,A1,
014686,秋永 昂人,アキナガ タカヒト,福岡,98,A3,
014687,井上 将志,イノウエ マサシ,福岡,98,A2,
014688,西田 大志,ニシダ タイシ,福岡,98,A1,
014690,好永 晃,ヨシナガ アキラ,佐賀,98,A1,
014693,高田 大輔,タカダ ダイスケ,岡山,97,A3,
014694,前島 恭平,マエシマ キョウヘイ,長野,98,A3,
014695,山口 茂,ヤマグチ シゲル,福島,98,A2,
014697,相川 巧,アイカワ タクミ,埼玉,98,A3,
014699,小川 大地,オガワ ダイチ,愛知,98,A3,
014703,一ノ瀬 貴将,イチノセ タカマサ,大阪,98,A2,
014704,阿部 充宏,アベ ミツヒロ,山口,98,A2,
014705,沢田 勇治,サワダ ユウジ,山口,98,A3,
014707,飯塚 直人,イイヅカ ナオト,佐賀,98,A2,
014709,松岡 孝高,マツオカ ヨシタカ,熊本,98,A1,
014711,相澤 政宏,アイザワ マサヒロ,宮城,99,A1,
014713,鈴木 裕斗,スズキ ヒロト,宮城,99,A2,
014714,橋本 智昭,ハシモト トモアキ,宮城,99,A1,
014715,高橋 幸司,タカハシ コウジ,沖縄,99,A1,
014716,猪狩 祐樹,イガリ ユウキ,福島,99,A1,
014717,泉 文人,イズミ フミト,福島,99,A2,
014719,佐川 拓也,サガワ タクヤ,福島,99,A3,
014728,三好 恵一郎,ミヨシ ケイイチロウ,群馬,99,A1,
014731,山崎 輝夫,ヤマザキ テルオ,埼玉,99,A1,
014732,和田 禎嗣,ワダ ヨシツグ,埼玉,99,A2,
014734,長沼 謙太,ナガヌマ ケンタ,東京,99,A1,
014735,今村 俊雄,イマムラ トシオ,山梨,99,A3,
014737,河上 陽一,カワカミ ヨウイチ,千葉,99,A2,
014738,櫻川 雅彦,サクラカワ マサヒコ,千葉,99,A3,
014739,里見 恒平,サトミ コウヘイ,千葉,99,A3,
014740,須藤 悟,スドウ サトル,千葉,99,A1,
014742,河野 淳吾,コウノ ジュンゴ,神奈川,99,A2,
014743,鈴木 広人,スズキ ヒロト,神奈川,99,A3,
014747,猪俣 康一,イノマタ コウイチ,愛知,99,A1,
014748,山口 智弘,ヤマグチ トモヒロ,愛知,99,A1,
014749,山田 哲也,ヤマダ テツヤ,愛知,99,A2,
014753,山田 純也,ヤマダ ジュンヤ,岐阜,99,A2,
014755,奥出 健士郎,オクデ ケンシロウ,福井,99,A2,
014758,中野 智公,ナカノ トモキ,和歌山,99,A2,
014765,樫村 伸平,カシムラ シンペイ,兵庫,99,A3,
014772,細田 純平,ホソダ ジュンペイ,広島,99,A3,
014774,阿部 弘,アベ ヒロシ,高知,99,A3,
014775,小原 周祐,オハラ シュウスケ,高知,99,A1,
014776,川上 修平,カワカミ シュウヘイ,高知,99,A3,
014777,竹村 達也,タケムラ タツヤ,高知,99,A3,
014778,宮崎 一彰,ミヤザキ カズアキ,高知,99,A3,
014779,名川 豊,ナガワ ユタカ,福岡,99,A1,
014780,古川 大輔,フルカワ ダイスケ,広島,99,A3,
014781,船倉 卓郎,フナクラ タクロウ,長崎,99,A3,
014782,山口 幸太郎,ヤマグチ コウタロウ,長崎,99,A2,
014783,魚屋 周成,ウオヤ チカヨシ,大分,99,A2,
014784,萱島 大介,カヤジマ ダイスケ,大分,99,A2,
014787,瀬口 匠,セグチ タクミ,宮崎,99,A3,
014788,上吹越 俊一,カミフキゴシ シュンイチ,鹿児島,99,A1,
014789,茅野 寛史,カヤノ ヒロフミ,鹿児島,99,A1,
014796,保科 千春,ホシナ チハル,宮城,100,A1,
014797,佐々木 吉徳,ササキ ヨシノリ,秋田,100,A1,
014801,山本 恵介,ヤマモト ケイスケ,福島,100,A1,
014802,渡邉 正人,ワタナベ マサト,福島,100,A3,
014805,吉田 元輝,ヨシダ モトキ,茨城,100,A2,
014807,福田 拓也,フクダ タクヤ,栃木,100,A1,
014808,村上 貴彦,ムラカミ タカヒコ,栃木,100,A3,
014810,小川 辰徳,オガワ タツノリ,埼玉,100,A3,
014813,新井 僚太郎,アライ リョウタロウ,山梨,100,A2,
014816,齋藤 宗徳,サイトウ ムネノリ,千葉,100,A2,
014818,田口 裕一,タグチ ユウイチ,千葉,100,A1,
014819,太刀川 一成,タチカワ カズナリ,千葉,100,A1,
014820,中井 勇介,ナカイ ユウスケ,大阪,100,A1,
014821,原岡 泰志郎,ハラオカ タイシロウ,千葉,100,A2,
014822,関根 健太郎,セキネ ケンタロウ,神奈川,100,A1,
014823,渡辺 聖,ワタナベ ショウ,神奈川,100,A2,
014826,菅原 裕太,スガワラ ユウタ,静岡,100,A1,
014828,川口 聖翔,カワグチ セイショウ,三重,100,A2,
014829,桜井 雄太,サクライ ユウタ,愛知,100,A3,
014832,宮西 翼,ミヤニシ ツバサ,石川,100,A2,
014840,石貞 有基,イシサダ ユウキ,兵庫,100,A3,
014841,井上 将志,イノウエ マサシ,兵庫,100,A2,
014842,川本 琢也,カワモト タクヤ,岡山,100,A3,
014843,峰重 祐之介,ミネシゲ ユウノスケ,岡山,100,A2,
014844,三登 誉哲,ミト タカノリ,広島,100,A3,
014845,表原 周,オモテハラ シュウ,徳島,100,A1,
014849,宗崎 世連,ソウザキ セレン,高知,100,A1,
014850,岡田 啓渡,オカダ ケイト,愛媛,100,A2,
014851,横内 裕人,ヨコウチ ヒロト,愛媛,100,A2,
014853,中山 敬太郎,ナカヤマ ケイタロウ,熊本,100,A3,
014855,東 隆之,ヒガシ タカユキ,宮崎,100,A3,
014858,小原 唯志,オバラ タダシ,茨城,101,A1,
014859,小林 申太,コバヤシ シンタ,茨城,101,A2,
014862,坂本 将太郎,サカモト シヨウタロウ,栃木,101,A1,
014866,櫻井 利之,サクライ トシユキ,神奈川,101,A3,
014867,巴 直也,トモエ ナオヤ,神奈川,101,A1,
014868,小林 寛弥,コバヤシ ヒロヤ,静岡,101,A3,
014869,泉谷 元樹,イズタニ ゲンキ,愛知,101,A2,
014872,玉村 元気,タマムラ ゲンキ,香川,101,A3,
014876,冨尾 享平,トミオ キョウヘイ,沖縄,101,A1,
014880,野見 泰要,ノウミ ヒロモト,岡山,101,A3,
014884,友永 龍介,トモナガ リュウスケ,山口,101,A3,
014885,戸田 康平,トダ コウヘイ,香川,101,A3,
014887,板崎 佑矢,イタザキ ユウヤ,愛媛,101,A2,
014891,小岩 哲也,コイワ テツヤ,大分,101,A2,
014931,横田 政直,ヨコタ マサナオ,群馬,103,A3,
014932,浦野 慈生,ウラノ ヨシキ,神奈川,103,A3,
014933,奥原 亨,オクハラ リョウ,神奈川,103,A2,
014934,渋谷 錬,シブタニ レン,神奈川,103,A1,
014937,田中 誇士,タナカ コウジ,静岡,103,A2,
014938,夏目 新吾,ナツメ シンゴ,静岡,103,A2,
014941,江端 隆司,エバタ タカシ,福井,103,A2,
014948,斎藤 敦,サイトウ アツシ,大阪,103,A3,
014949,石口 慶多,イシグチ ケイタ,兵庫,103,A1,
014950,市村 昌樹,イチムラ マサキ,兵庫,103,A1,
014951,後藤 祐貴,ゴトウ ユウキ,兵庫,103,A2,
014952,多田 晃紀,タダ アキノリ,岡山,103,A1,
014953,和田 誠寿,ワダ セイジュ,広島,103,A1,
014954,日野 博幸,ヒノ ヒロユキ,愛媛,103,A1,
014958,新納 大輝,ニイロ ダイキ,鹿児島,103,A1,
014979,黒川 渉,クロカワ ワタル,奈良,103,A3,
014980,田原 宥明,タハラ ヒロアキ,北海道,105,A2,
014981,磯島 康祐,イソジマ コウスケ,青森,105,A1,
014984,會澤 龍,アイザワ リュウ,宮城,105,A1,
014985,竹山 慶太,タケヤマ ケイタ,宮城,105,A1,
014986,三浦 綾,ミウラ リョウ,宮城,105,A3,
014987,門馬 琢麿,モンマ タクマ,北海道,105,A3,
014988,伊早坂 駿一,イハヤザカ シュンイチ,茨城,105,A2,
014989,鈴木 豪,スズキ ゴウ,福島,105,A2,
014991,中島 将尊,ナカジマ マサタカ,東京,105,A1,
014992,楠野 史尭,クスノ フミアキ,埼玉,105,A2,
014993,副島 和人,ソエジマ カズト,神奈川,105,A1,
014994,野口 修平,ノグチ シュウヘイ,神奈川,105,A3,
014997,下岡 優季,シモオカ ユウキ,愛知,105,A1,
014999,水谷 将司,ミズタニ ショウジ,愛知,105,A2,
015000,藤井 準也,フジイ ジュンヤ,岐阜,105,A3,
015003,小笹 隼人,オザサ ハヤト,奈良,105,A1,
015005,野口 正則,ノグチ マサノリ,奈良,105,A1,
015007,岸川 哲也,キシカワ テツヤ,大阪,105,A3,
015010,吉川 嘉斗,ヨシカワ ヨシト,徳島,105,A1,
015011,吉岡 伸太郎,ヨシオカ シンタロウ,愛媛,105,A2,
015012,勝部 貴博,カツベ タカヒロ,福岡,105,A2,
015015,野口 大誠,ノグチ タイセイ,熊本,105,A1,
015042,高橋 泰裕,タカハシ ヤスヒロ,埼玉,107,A1,
015044,平川 雅晃,ヒラカワ マサアキ,長野,107,A3,
015045,大関 祐也,オオゼキ ユウヤ,千葉,107,A2,
015047,加藤 健一,カトウ ケンイチ,神奈川,107,A3,
015048,志佐 明,シサ メイ,神奈川,107,A1,
015053,廣田 敦士,ヒロタ アツシ,三重,107,A3,
015054,谷本 奨輝,タニモト ショウキ,岐阜,107,A2,
015056,田村 風起,タムラ カザキ,奈良,107,A1,
015057,小林 史也,コバヤシ フミヤ,和歌山,107,A2,
015059,畝木 努,ウネキ ツトム,岡山,107,A1,
015060,滝本 泰行,タキモト ヤスユキ,岡山,107,A1,
015062,大室 翔,オオムロ ショウ,岡山,107,A3,
015083,中村 弘之輔,ナカムラ コウノスケ,北海道,109,A1,
015084,菅田 謙仁,スガタ ノリヨシ,宮城,109,A2,
015085,奈良 基,ナラ モトイ,宮城,109,A2,
015087,本馬 鎌,ホンマ レン,福島,109,A3,
015088,神山 尚,カミヤマ ナオ,栃木,109,A1,
015091,樋口 瑛土,ヒグチ エイト,東京,109,A2,
015095,遠藤 勝弥,エンドウ カツヤ,静岡,109,A1,
015099,吉竹 尚城,ヨシタケ ナオキ,静岡,109,A1,
015100,渡邊 颯太,ワタナベ ハヤタ,静岡,109,A2,
015101,松岡 晋乃介,マツオカ シンノスケ,岐阜,109,A2,
015102,奥出 良,オクデ リョウ,新潟,109,A2,
015105,大崎 龍一郎,オオサキ リュウイチロウ,奈良,109,A3,
015107,田頭 寛之,タガシラ ヒロユキ,千葉,109,A1,
015108,吉田 篤史,ヨシダ アツシ,奈良,109,A2,
015109,大利 航平,オオトシ コウヘイ,和歌山,109,A1,
015110,小出 慎也,コイデ シンヤ,和歌山,109,A3,
015111,布居 翼,ヌノイ ツバサ,和歌山,109,A3,
015112,日浦 崇道,ヒウラ タカミチ,和歌山,109,A2,
015114,谷口 友真,タニグチ ユウマ,大阪,109,A1,
015115,堀 僚介,ホリ リョウスケ,大阪,109,A2,
015116,池野 健太,イケノ ケンタ,兵庫,109,A1,
015119,佐伯 辰哉,サエキ タツヤ,広島,109,A1,
015120,竹内 翼,タケウチ ツバサ,広島,109,A1,
015126,高山 雄丞,タカヤマ ユウスケ,愛媛,109,A2,
015131,池部 壮太,イケベ ソウタ,大分,109,A1,
015155,三浦 大輝,ミウラ ダイキ,宮城,111,A3,
015156,門脇 翼,カドワキ ツバサ,秋田,111,A2,
015157,高橋 大輝,タカハシ ダイキ,秋田,111,A2,
015158,猪野 泰介,イノ タイスケ,山形,111,A3,
015159,坂本 拓也,サカモト タクヤ,福島,111,A1,
015160,牧田 賢也,マキタ ケンヤ,福島,111,A3,
015162,蕗澤 鴻太郎,フキザワ コウタロウ,群馬,111,A1,
015163,戸塚 涼介,トヅカ リョウスケ,埼玉,111,A2,
015164,菱沼 元樹,ヒシヌマ ゲンキ,埼玉,111,A3,
015165,寺沼 将彦,テラヌマ マサヒコ,東京,111,A1,
015166,内田 淳,ウチダ アツシ,千葉,111,A3,
015167,小林 裕一朗,コバヤシ ユウイチロウ,千葉,111,A1,
015172,能代谷 元,ノシロヤ モト,神奈川,111,A1,
015175,桜井 大地,サクライ ダイチ,静岡,111,A2,
015176,望月 一成,モチヅキ イッセイ,静岡,111,A1,
015177,森川 康輔,モリカワ コウスケ,岐阜,111,A3,
015180,下岡 将也,シモオカ ショウヤ,三重,111,A2,
015181,栗田 万生,クリタ マオ,千葉,111,A2,
015182,吉川 希望,ヨシカワ キボウ,石川,111,A1,
015184,中野 雄喜,ナカノ ユウキ,京都,111,A1,
015185,布居 大地,ヌノイ ダイチ,和歌山,111,A2,
015187,鮫島 康治,サメジマ コウジ,大阪,111,A2,
015188,浜田 翔平,ハマダ ショウヘイ,大阪,111,A3,
015189,山本 隼人,ヤマモト ハヤト,大阪,111,A2,
015190,大中 拓磨,オオナカ タクマ,兵庫,111,A3,
015192,藤原 俊太郎,フジワラ シュンタロウ,岡山,111,A1,
015193,藏本 徹二,クラモト テツジ,広島,111,A1,
015194,船瀬 惇平,フナセ ジュンペイ,広島,111,A1,
015200,谷口 幸司,タニグチ コウジ,高知,111,A2,
015202,今野 大輔,コンノ ダイスケ,岡山,111,A1,
015204,吉田 智哉,ヨシダ トモヤ,愛媛,111,A1,
015208,金ヶ江 勇気,カネガエ ユウキ,佐賀,111,A1,
015209,中野 真吾,ナカノ シンゴ,佐賀,111,A2,
015210,白濱 一平,シラハマ カズヒラ,長崎,111,A2,
015212,山口 龍也,ヤマグチ リュウヤ,長崎,111,A1,
015214,境 啓亨,サカイ ヒロアキ,熊本,111,A2,
015215,照屋 将貴,テルヤ マサキ,沖縄,111,A3,
015233,渋谷 海,シブヤ カイ,香川,113,A1,
015234,八嶋 稔真,ヤシマ トシマサ,神奈川,113,A1,
015237,太田 将成,オオタ マサノリ,宮城,113,A2,
015238,井寺 亮太,イデラ リョウタ,長崎,113,A1,
015240,前川 大輔,マエカワ ダイスケ,福島,113,A1,
015241,山田 祐太,ヤマダ ユウタ,福島,113,A3,
015245,尾崎 悠生,オザキ ユウセイ,埼玉,113,A1,
015247,小玉 勇一,コダマ ユウイチ,埼玉,113,A2,
015253,清水 健次,シミズ ケンジ,東京,113,A3,
015254,鈴木 輝大,スズキ コウダイ,東京,113,A1,
015255,樋口 開土,ヒグチ カイト,東京,113,A1,
015257,舟山 佑京,フナヤマ ウキョウ,新潟,113,A3,
015259,小林 稜武,コバヤシ リョウブ,栃木,113,A1,
015260,國井 裕樹,クニイ ユウキ,神奈川,113,A3,
015262,内山 雅貴,ウチヤマ マサタカ,静岡,113,A1,
015264,渡邉 直弥,ワタナベ ナオヤ,静岡,113,A2,
015265,井田 晶之,イダ アキユキ,三重,113,A2,
015266,福田 真平,フクダ シンペイ,愛知,113,A1,
015267,橋本 英也,ハシモト エイヤ,岐阜,113,A1,
015270,元砂 海人,モトスナ アキヒト,奈良,113,A3,
015271,大城 慶之,オオシロ ヨシユキ,大阪,113,A2,
015273,中武 三四郎,ナカタケ サンシロウ,大阪,113,A2,
015275,伊藤 歩登,イトウ アルト,兵庫,113,A2,
015276,佐伯 亮輔,サエキ リョウスケ,岡山,113,A1,
015277,高井 流星,タカイ リュウセイ,岡山,113,A2,
015278,田中 和磨,タナカ カズマ,岡山,113,A1,
015279,山崎 駿哉,ヤマサキ シュンヤ,岡山,113,A2,
015280,藤井 將,フジイ ショウ,広島,113,A1,
015281,増田 仁,マスダ ヒトシ,広島,113,A2,
015283,安本 昇平,ヤスモト ショウヘイ,山口,113,A3,
015284,田村 裕也,タムラ ユウヤ,徳島,113,A2,
015285,久樹 克門,ヒサキ カツト,徳島,113,A1,
015286,土居 佑次,ドイ ユウジ,高知,113,A3,
015287,山中 崇弘,ヤマナカ タカヒロ,高知,113,A2,
015288,薦田 将伍,コモダ ショウゴ,愛媛,113,A1,
015290,真崎 章徳,マサキ アキノリ,佐賀,113,A3,
015293,中里 福太郎,ナカザト フクタロウ,北海道,113,A2,
015294,小原 亮哉,コハラ リョウヤ,大分,113,A1,
015295,篠田 樹,シノダ タツキ,大分,113,A3,
015299,曽我 圭佑,ソガ ケイスケ,熊本,113,A1,
015300,ラモス レオ,ラモス レオ,沖縄,113,A3,
015327,阿部 架惟都,アベ カイト,宮城,115,A1,
015330,伊藤 奎,イトウ ケイ,福島,115,A1,
015331,宇佐見 優介,ウサミ ユウスケ,福島,115,A1,
015332,鈴木 涼介,スズキ リョウスケ,福島,115,A1,
015338,土田 栄二,ツチダ エイジ,茨城,115,A1,
015339,土田 武志,ツチダ タケシ,茨城,115,A1,
015344,荒木 貴大,アラキ タカヒロ,埼玉,115,A1,
015345,浅見 隼,アサミ シュン,福岡,115,A1,
015346,鈴木 薫,スズキ カオル,東京,115,A1,
015348,寺沼 伊織,テラヌマ イオリ,東京,115,A1,
015350,山本 修平,ヤマモト シュウヘイ,東京,115,A2,
015351,宮下 一歩,ミヤシタ イッポ,長野,115,A1,
015353,松坂 侑亮,マツザカ ユウスケ,神奈川,115,A1,
015355,磯村 蓮太,イソムラ レンタ,愛知,115,A3,
015357,藤井 稜也,フジイ リョウヤ,岐阜,115,A2,
015359,山口 聖矢,ヤマグチ セイヤ,岐阜,115,A1,
015360,勝谷 勝治,カツヤ カツハル,三重,115,A2,
015364,吉堂 将規,ヨシドウ マサキ,奈良,115,A1,
015365,古賀 勝大,コガ カツヒロ,和歌山,115,A1,
015367,南 蓮,ミナミ レン,和歌山,115,A3,
015368,井坂 泰誓,イサカ ヒロトシ,大阪,115,A3,
015371,田上 晃也,タノウエ コウヤ,岡山,115,A3,
015372,野上 竜太,ノガミ リュウタ,岡山,115,A2,
015375,村上 竜馬,ムラカミ リョウマ,広島,115,A1,
015377,蒋野 翔太,コモノ ショウタ,徳島,115,A1,
015379,下野 義城,シモノ ヨシキ,愛媛,115,A2,
015382,竹元 健竜,タケモト ケンリュウ,福岡,115,A2,
015384,天野 純平,アマノ ジュンペイ,佐賀,115,A2,
015387,緒方 慎太朗,オガタ シンタロウ,熊本,115,A2,
015388,松尾 勇吾,マツオ ユウゴ,熊本,115,A1,
015414,大森 光明,オオモリ ミツアキ,北海道,117,A2,
015415,坂本 紘規,サカモト ヒロミ,青森,117,A1,
015419,黒滝 大翔,クロタキ タイショウ,茨城,117,A1,
015421,秋本 耀太郎,アキモト ヨウタロウ,栃木,117,A1,
015423,上川 直紀,カミカワ ナオキ,栃木,117,A1,
015424,中村 隆生,ナカムラ リュウキ,栃木,117,A1,
015425,藤野 竜也,フジノ タツヤ,栃木,117,A3,
015427,戸邉 捺希,トベ ナツキ,埼玉,117,A1,
015428,藤田 周磨,フジタ シュウマ,埼玉,117,A1,
015429,山田 雄大,ヤマダ ユウダイ,埼玉,117,A1,
015432,水森 湧太,ミズモリ ユウタ,東京,117,A1,
015433,山本 勝利,ヤマモト ショウリ,東京,117,A1,
015434,片桐 善也,カタギリ ゼンヤ,新潟,117,A1,
015442,仁藤 秀,ニトウ シュウ,静岡,117,A1,
015445,内藤 久文,ナイトウ ヒサフミ,愛知,117,A1,
015446,林 敬宏,ハヤシ タカヒロ,愛知,117,A1,
015447,小浦 凪,コウラ ナギ,岐阜,117,A2,
015455,枠元 一葵,ワクモト カズキ,福井,117,A2,
015456,安藤 直希,アンドウ ナオキ,京都,117,A2,
015457,村田 瑞季,ムラタ ミズキ,京都,117,A1,
015459,中村 泰輔,ナカムラ タイスケ,和歌山,117,A2,
015460,仲野 結音,ナカノ ユウト,大阪,117,A1,
015461,土生 敦弘,ハブ アツヒロ,大阪,117,A1,
015462,溝口 葵,ミゾグチ アオイ,三重,117,A1,
015467,倉松 涼,クラマツ リョウ,高知,117,A3,
015469,犬塚 貴之,イヌヅカ タカユキ,愛知,117,A1,
015471,中村 翔平,ナカムラ ショウヘイ,福岡,117,A2,
015472,吉田 勇気,ヨシダ ユウキ,大阪,117,A3,
015481,山川 奨太,ヤマカワ ショウタ,熊本,117,A2,
015482,松本 一志,マツモト カズシ,宮崎,117,A3,
015483,谷元 奎心,タニモト ケイシン,山口,117,A1,
015505,荻原 寿嗣,オギハラ トシツグ,北海道,119,A1,
015506,佐藤 啓斗,サトウ ヒロト,青森,119,A2,
015507,上遠野 拓馬,カトウノ タクマ,宮城,119,A1,
015508,菅野 航基,カンノ コウキ,宮城,119,A1,
015510,田口 勇介,タグチ ユウスケ,秋田,119,A1,
015511,中込 健太,ナカゴメ ケンタ,秋田,119,A3,
015512,大高 彰馬,オオタカ ショウマ,福島,119,A1,
015513,菊池 翔,キクチ カケル,福島,119,A2,
015515,平山 優太,ヒラヤマ ユウタ,福島,119,A2,
015523,邊見 祐太,ヘンミ ユウタ,新潟,119,A3,
015526,梅田 加津也,ウメダ カズヤ,神奈川,119,A1,
015531,深瀬 泰我,フカセ タイガ,静岡,119,A1,
015532,石田 拓真,イシダ タクマ,愛知,119,A1,
015533,岩城 佑典,イワキ ユウスケ,愛知,119,A2,
015534,牛田 樹希斗,ウシダ ジュキト,愛知,119,A2,
015535,佐藤 竜太,サトウ リュウタ,愛知,119,A1,
015536,疋田 力也,ヒキタ リキヤ,愛知,119,A1,
015538,村瀬 大和,ムラセ ヤマト,岐阜,119,A2,
015542,中嶋 樹,ナカジマ イツキ,大阪,119,A3,
015544,大槇 大介,オオマキ ダイスケ,岡山,119,A1,
015545,橋本 凌汰,ハシモト リョウタ,岡山,119,A1,
015547,米嶋 恵介,ヨネシマ ケイスケ,岡山,119,A1,
015548,白井 優太朗,シライ ユウタロウ,広島,119,A1,
015549,阿部 龍也,アベ リュウヤ,山口,119,A3,
015550,山崎 航,ヤマサキ ワタル,山口,119,A1,
015554,近藤 翔馬,コンドウ ショウマ,愛媛,119,A1,
015556,上野 恭哉,ウエノ キョウヤ,福岡,119,A2,
015557,梶原 大地,カジハラ ダイチ,福岡,119,A1,
015558,川野 深,カワノ シン,福岡,119,A1,
015559,神開 一輝,シンカイ カズキ,福岡,119,A1,
015560,林 昴,ハヤシ スバル,福岡,119,A1,
015561,原井 剣也,ハライ ケンヤ,福岡,119,A1,
015562,山本 浩成,ヤマモト ヒロアキ,福岡,119,A1,
015563,久保 光司,クボ コウジ,佐賀,119,A2,
015564,高橋 綜一郎,タカハシ ソウイチロウ,大分,119,A1,
015565,入江 航太,イリエ コウタ,熊本,119,A2,
015567,北川 大成,キタガワ タイセイ,熊本,119,A2,
015568,田川 翔琉,タガワ カケル,熊本,119,A1,
015569,谷口 力也,タニグチ リキヤ,熊本,119,A1,
015571,吉田 悟,ヨシダ サトル,熊本,119,A3,
015594,金田 涼馬,カネダ リョウマ,神奈川,119,A2,
015599,堀 航輝,ホリ コウキ,青森,121,A1,
015600,照井 力斗,テルイ リキト,岩手,121,A1,
015602,比佐 宝太,ヒサ ホウタ,福島,121,A1,
015603,小坂 丈,オサカ ジョウ,茨城,121,A2,
015606,近藤 圭佑,コンドウ ケイスケ,埼玉,121,A3,
015607,中山 拓人,ナカヤマ ヒロト,埼玉,121,A2,
015611,長谷川 飛向,ハセガワ ヒュウガ,東京,121,A1,
015617,添田 龍児,ソエダ リュウジ,神奈川,121,A1,
015618,高本 和也,タカモト カズヤ,神奈川,121,A1,
015621,長谷川 裕一,ハセガワ ユウイチ,愛知,121,A2,
015622,伊藤 温希,イトウ ハルキ,岐阜,121,A2,
015623,野崎 翼,ノザキ ツバサ,岐阜,121,A2,
015625,真鍋 顕汰,マナベ ケンタ,三重,121,A1,
015626,近谷 涼,チカタニ リョウ,富山,121,A1,
015627,南儀 拓海,ナンギ タクミ,富山,121,A1,
015632,常次 勇人,ツネツグ ハヤト,大阪,121,A1,
015633,中釜 健次,ナカガマ タツヒデ,大阪,121,A1,
015634,末廣 快理,スエヒロ カイリ,兵庫,121,A2,
015635,藤岡 徹也,フジオカ テツヤ,兵庫,121,A1,
015637,近藤 雄太,コンドウ ユウタ,岡山,121,A3,
015639,松下 綾馬,マツシタ リョウマ,岡山,121,A1,
015640,矢部 駿人,ヤベ ハヤト,岡山,121,A1,
015642,眞砂 英作,マサゴ エイサク,香川,121,A2,
015644,中野 光太郎,ナカノ コウタロウ,徳島,121,A1,
015650,田代 匠,タシロ タクミ,福岡,121,A2,
015652,橋本 陸,ハシモト リク,福岡,121,A1,
015655,一丸 尚伍,イチマル ショウゴ,大分,121,A1,
015657,高橋 優斗,タカハシ ユウト,大分,121,A1,
015658,長松 大祐,ナガマツ ダイスケ,大分,121,A2,
015659,池田 伍功羽,イケダ ゴクウ,熊本,121,A2,
015662,中山 遼太郎,ナカヤマ リョウタロウ,熊本,121,A2,
015664,米村 光星,ヨネムラ コウセイ,熊本,121,A2,
