reg_no,name,grade,score,entries,racing_now,starts,dq,form_emoji,form_avg,retired
014777,竹村 達也,A3,63.83,川崎@09/10-09/12;別府@09/24-09/26,,12,0,🥺,6.6,
014778,宮崎 一彰,A3,76.66,久留米@09/05-09/07;大垣@09/13-09/15;川崎@09/24-09/26,熊本,12,0,,2.8,
014779,名川 豊,A1,89.91,小松島@08/27-08/29;防府@09/04-09/06;岐阜@09/13-09/15,,12,0,,2.2,
014780,古川 大輔,A3,72.46,弥彦@09/02-09/04;大垣@09/13-09/15;別府@09/24-09/26,,15,0,,3.2,
014781,船倉 卓郎,A3,74.53,静岡@08/30-09/01;松山@09/12-09/14;川崎@09/24-09/26,,13,0,,3.4,
014782,山口 幸太郎,A2,83.09,玉野@08/26-08/28;川崎@09/10-09/12;青森@09/21-09/23;広島@09/28-09/30,,11,0,,5.2,
014783,魚屋 周成,A2,88.00,久留米@09/05-09/07;玉野@09/27-09/29,高知,9,0,,3.6,
014784,萱島 大介,A2,85.46,玉野@09/02-09/04;四日市@09/09-09/11,,15,0,,4.0,
014787,瀬口 匠,A3,72.66,伊東@09/02-09/04;武雄@09/16-09/18,松阪,15,0,,3.4,
014788,上吹越 俊一,A1,83.08,久留米@09/17-09/19;熊本@09/24-09/26,,12,0,,5.0,
014789,茅野 寛史,A1,79.11,佐世保@09/20-09/22;防府@09/29-10/01,高知,9,0,🥺,5.6,
014796,保科 千春,A1,92.00,伊東@09/07-09/09;小松島@09/23-09/25,,15,0,,4.2,
014797,佐々木 吉徳,A1,84.86,松山@08/31-09/02;京王閣@09/08-09/10;青森@09/26-09/28,和歌,15,0,,4.6,
014801,山本 恵介,A1,86.41,松阪@08/31-09/02;川崎@09/10-09/12;弥彦@09/19-09/21,,12,0,,4.2,
014802,渡邉 正人,A3,69.55,松戸@09/01-09/03;富山@09/10-09/12;大宮@09/21-09/23,,9,0,,5.0,
014805,吉田 元輝,A2,88.61,松戸@09/01-09/03;小松島@09/23-09/25,,13,1,,2.8,
014807,福田 拓也,A1,94.60,大宮@09/13-09/15;平塚@09/28-09/30,,15,0,🚀,1.2,
014808,村上 貴彦,A3,76.26,いわき平@08/30-09/01;弥彦@09/07-09/09;立川@09/16-09/18,,15,0,,2.4,
014810,小川 辰徳,A3,68.75,弥彦@09/02-09/04;川崎@09/10-09/12;大垣@09/22-09/24,,16,0,,4.4,
014813,新井 僚太郎,A2,84.85,岸和田@08/27-08/29;弥彦@09/07-09/09;立川@09/16-09/18;熊本@09/24-09/26,,14,0,,3.2,
014816,齋藤 宗徳,A2,79.83,青森@09/14-09/16;広島@09/28-09/30,,12,0,,5.2,
014818,田口 裕一,A1,88.26,西武園@09/06-09/08;川崎@09/17-09/19,,15,0,,4.2,
014819,太刀川 一成,A1,90.77,京王閣@09/08-09/10;防府@09/15-09/17;岸和田@09/26-09/28,,15,0,,4.2,
014820,中井 勇介,A1,88.80,佐世保@09/12-09/14;弥彦@09/19-09/21,,2,0,,,
014821,原岡 泰志郎,A2,88.60,伊東@09/07-09/09;いわき平@09/27-09/29,,15,0,,3.4,
014822,関根 健太郎,A1,89.70,奈良@08/26-08/28;いわき平@09/07-09/09;青森@09/21-09/23,,10,1,,2.4,
014823,渡辺 聖,A2,83.00,京王閣@09/08-09/10;いわき平@09/15-09/17;平塚@09/28-09/30,,12,0,,4.4,
014826,菅原 裕太,A1,95.91,玉野@09/02-09/04;豊橋@09/11-09/13;伊東@09/23-09/25,岐阜,12,0,,2.2,
014828,川口 聖翔,A2,78.16,高知@09/20-09/22;防府@09/29-10/01,松阪,12,0,🥺,5.6,
014829,桜井 雄太,A3,74.33,弥彦@09/02-09/04;豊橋@09/11-09/13,,18,0,,2.8,
014832,宮西 翼,A2,80.50,小倉@08/28-08/30;久留米@09/05-09/07;別府@09/16-09/18,,9,0,,5.2,
014840,石貞 有基,A3,71.58,静岡@08/30-09/01;富山@09/10-09/12;大垣@09/22-09/24,,12,0,,3.8,
014841,井上 将志,A2,81.00,岸和田@08/27-08/29;松阪@09/05-09/07;大宮@09/13-09/15;佐世保@09/20-09/22,,3,0,,3.0,
014842,川本 琢也,A3,70.33,久留米@09/05-09/07;大垣@09/13-09/15,宇都,12,0,,4.2,
014843,峰重 祐之介,A2,82.33,佐世保@09/12-09/14;青森@09/21-09/23,高知,12,0,,4.6,
014844,三登 誉哲,A3,65.50,伊東@09/02-09/04;大垣@09/13-09/15,宇都,6,0,,5.0,
014845,表原 周,A1,84.75,大宮@09/13-09/15;高知@09/20-09/22,,24,0,,2.8,
014849,宗崎 世連,A1,91.33,防府@09/04-09/06;青森@09/14-09/16,高知,12,0,,3.8,
014850,岡田 啓渡,A2,88.33,奈良@08/26-08/28;玉野@09/08-09/10;いわき平@09/15-09/17,,12,0,,2.6,
014851,横内 裕人,A2,83.25,川崎@09/10-09/12;防府@09/29-10/01,松阪,12,0,,4.6,
014853,中山 敬太郎,A3,63.00,久留米@09/05-09/07;大垣@09/13-09/15,松阪,1,0,,,
014855,東 隆之,A3,70.26,静岡@08/30-09/01;川崎@09/10-09/12;松山@09/19-09/21,,15,0,,4.0,
014858,小原 唯志,A1,91.35,岐阜@08/30-09/01;伊東@09/07-09/09;岸和田@09/14-09/16,,14,0,,3.8,
014859,小林 申太,A2,89.08,西武園@08/31-09/02;伊東@09/07-09/09,岐阜,12,0,🚀,2.0,
014862,坂本 将太郎,A1,87.75,玉野@09/02-09/04;いわき平@09/15-09/17,和歌,12,0,,3.2,
014866,櫻井 利之,A3,,松阪@09/05-09/07;広島@09/20-09/22,青森,0,0,,,
014867,巴 直也,A1,88.00,四日市@08/29-08/31;弥彦@09/07-09/09;青森@09/14-09/16,,4,0,,4.2,
014868,小林 寛弥,A3,68.22,西武園@08/31-09/02;いわき平@09/15-09/17;大垣@09/22-09/24,熊本,9,0,🥺,5.6,
014869,泉谷 元樹,A2,87.88,岐阜@08/30-09/01;富山@09/10-09/12;松山@09/19-09/21,,9,0,,3.6,
014872,玉村 元気,A3,,伊東@09/02-09/04;小松島@09/17-09/19,,0,0,,,
014876,冨尾 享平,A1,80.00,玉野@08/26-08/28;別府@09/16-09/18;小松島@09/23-09/25,,6,0,,5.4,
014880,野見 泰要,A3,69.70,伊東@08/27-08/29;京王閣@09/08-09/10;いわき平@09/15-09/17,,20,0,,3.6,
014884,友永 龍介,A3,68.33,川崎@09/10-09/12;松山@09/19-09/21,松阪,12,0,,5.2,
014885,戸田 康平,A3,76.66,久留米@09/05-09/07;松山@09/12-09/14,,12,0,,3.6,
014887,板崎 佑矢,A2,81.66,宇都宮@08/31-09/02;佐世保@09/12-09/14,,15,0,,5.0,
014891,小岩 哲也,A2,80.75,豊橋@09/04-09/06;青森@09/14-09/16;小松島@09/23-09/25,岐阜,12,0,,3.6,
014931,横田 政直,A3,67.55,伊東@08/27-08/29;川崎@09/10-09/12;小松島@09/17-09/19,,9,0,,4.2,
014932,浦野 慈生,A3,67.11,西武園@08/31-09/02;松山@09/12-09/14;広島@09/20-09/22,宇都,9,0,,5.0,
014933,奥原 亨,A2,88.53,松阪@08/31-09/02;弥彦@09/07-09/09,岐阜,15,0,,3.0,
014934,渋谷 錬,A1,88.40,松阪@08/31-09/02;いわき平@09/15-09/17;広島@09/28-09/30,,15,0,,3.6,
014937,田中 誇士,A2,83.55,玉野@08/26-08/28;武雄@09/03-09/05;いわき平@09/27-09/29,,9,0,,3.2,
014938,夏目 新吾,A2,82.41,松阪@08/31-09/02;川崎@09/17-09/19,,12,0,,4.6,
014941,江端 隆司,A2,79.13,武雄@09/03-09/05;岸和田@09/26-09/28,,15,0,,5.4,
014948,斎藤 敦,A3,68.33,西武園@08/31-09/02;松山@09/12-09/14;奈良@09/24-09/26,和歌,12,0,,4.4,
014949,石口 慶多,A1,83.90,松戸@09/01-09/03;別府@09/24-09/26,岐阜,11,0,,4.2,
014950,市村 昌樹,A1,82.13,武雄@09/03-09/05;立川@09/22-09/24,,15,0,,5.2,
014951,後藤 祐貴,A2,82.33,豊橋@09/11-09/13;立川@09/22-09/24,,15,0,,4.6,
014952,多田 晃紀,A1,91.13,小松島@08/27-08/29;高知@09/20-09/22;玉野@09/27-09/29,,15,0,🚀,1.6,
014953,和田 誠寿,A1,90.86,武雄@09/03-09/05;佐世保@09/20-09/22,,15,0,,4.2,
014954,日野 博幸,A1,87.27,別府@09/16-09/18;玉野@09/27-09/29,,11,0,,5.2,
014958,新納 大輝,A1,,,,0,0,,,
014979,黒川 渉,A3,71.16,伊東@09/02-09/04;富山@09/10-09/12,,6,0,,4.0,
014980,田原 宥明,A2,89.58,松阪@08/31-09/02;青森@09/26-09/28,防府,12,0,,2.4,
014981,磯島 康祐,A1,93.33,和歌山@08/30-09/01;伊東@09/07-09/09;小松島@09/23-09/25,,12,0,,2.2,
014984,會澤 龍,A1,86.60,岐阜@08/30-09/01;弥彦@09/07-09/09;伊東@09/23-09/25,,15,0,,3.2,
014985,竹山 慶太,A1,82.75,玉野@09/02-09/04,,12,0,,5.0,
014986,三浦 綾,A3,71.16,いわき平@08/30-09/01;西武園@09/06-09/08;川崎@09/17-09/19,,12,0,,4.4,
014987,門馬 琢麿,A3,72.66,伊東@08/27-08/29;武雄@09/16-09/18;弥彦@09/24-09/26,,3,0,,4.0,
014988,伊早坂 駿一,A2,82.93,和歌山@08/30-09/01;大垣@09/07-09/09;弥彦@09/19-09/21,,15,0,,5.0,
014989,鈴木 豪,A2,76.55,川崎@08/30-09/01;玉野@09/08-09/10;弥彦@09/19-09/21,和歌,9,0,🥺,6.2,
014991,中島 将尊,A1,94.11,青森@09/14-09/16;平塚@09/28-09/30,,9,0,,2.6,
014992,楠野 史尭,A2,81.42,,,7,1,,4.0,
014993,副島 和人,A1,87.11,岸和田@08/27-08/29;別府@09/16-09/18;青森@09/26-09/28,,9,0,,2.8,
014994,野口 修平,A3,,武雄@09/09-09/11;川崎@09/24-09/26,,0,0,,,
014997,下岡 優季,A1,89.26,松山@08/31-09/02;豊橋@09/11-09/13,,15,0,🚀,1.8,
014999,水谷 将司,A2,90.25,岸和田@08/27-08/29;立川@09/03-09/05;久留米@09/17-09/19;熊本@09/24-09/26,,12,0,,3.0,
015000,藤井 準也,A3,78.33,静岡@08/30-09/01;富山@09/10-09/12;広島@09/20-09/22,和歌,12,0,,2.8,
015003,小笹 隼人,A1,92.75,川崎@08/30-09/01;高知@09/09-09/11;武雄@09/27-09/29,,12,0,,2.4,
015005,野口 正則,A1,92.80,富山@09/03-09/05;岸和田@09/14-09/16,,15,0,,3.0,
015007,岸川 哲也,A3,76.66,武雄@09/09-09/11;小松島@09/17-09/19;奈良@09/24-09/26,松阪,12,0,,2.4,
015010,吉川 嘉斗,A1,89.38,防府@09/04-09/06;高知@09/20-09/22,,13,0,🥺,6.4,
015011,吉岡 伸太郎,A2,80.88,防府@09/15-09/17;別府@09/24-09/26,,9,0,,5.0,
015012,勝部 貴博,A2,78.00,立川@09/03-09/05;防府@09/15-09/17;平塚@09/28-09/30,,12,0,🥺,6.0,
015015,野口 大誠,A1,88.66,小倉@08/28-08/30;いわき平@09/07-09/09;玉野@09/27-09/29,,9,0,,2.4,
015042,高橋 泰裕,A1,93.00,岸和田@08/27-08/29;四日市@09/09-09/11;川崎@09/17-09/19,,3,0,,,
015044,平川 雅晃,A3,71.73,伊東@09/02-09/04;立川@09/16-09/18,,15,0,,3.6,
015045,大関 祐也,A2,80.27,立川@09/03-09/05;佐世保@09/12-09/14,,18,0,🥺,5.6,
015047,加藤 健一,A3,68.93,いわき平@08/30-09/01;西武園@09/06-09/08;弥彦@09/24-09/26,,15,0,🥺,5.6,
015048,志佐 明,A1,89.50,岐阜@08/30-09/01;西武園@09/06-09/08;岸和田@09/14-09/16,,10,0,,2.4,
015053,廣田 敦士,A3,67.26,富山@09/10-09/12;小松島@09/17-09/19,,15,0,🥺,5.8,
015054,谷本 奨輝,A2,86.58,松山@08/31-09/02;豊橋@09/11-09/13,和歌,12,0,,3.8,
015056,田村 風起,A1,86.33,小倉@08/28-08/30;豊橋@09/04-09/06;静岡@09/18-09/20;広島@09/28-09/30,,6,0,,3.2,
015057,小林 史也,A2,85.06,岐阜@09/13-09/15;青森@09/21-09/23;防府@09/29-10/01,,15,0,,2.8,
015059,畝木 努,A1,95.40,宇都宮@08/31-09/02;四日市@09/09-09/11;久留米@09/17-09/19,,15,0,,2.2,
015060,滝本 泰行,A1,92.33,防府@09/04-09/06;久留米@09/17-09/19,松阪,12,0,,3.2,
015062,大室 翔,A3,69.91,いわき平@08/30-09/01;武雄@09/09-09/11;広島@09/20-09/22,,12,0,,4.4,
015083,中村 弘之輔,A1,91.38,伊東@09/07-09/09;防府@09/15-09/17,,13,1,,3.4,
015084,菅田 謙仁,A2,84.13,奈良@08/26-08/28,,15,0,,3.4,
015085,奈良 基,A2,80.13,玉野@09/02-09/04;いわき平@09/27-09/29,,15,0,🥺,5.8,
015087,本馬 鎌,A3,76.88,伊東@08/27-08/29;岸和田@09/14-09/16;川崎@09/24-09/26,,9,0,,3.2,
015088,神山 尚,A1,80.12,岐阜@08/30-09/01;西武園@09/06-09/08;青森@09/14-09/16,防府,16,0,,3.8,
015091,樋口 瑛土,A2,82.66,和歌山@08/30-09/01;京王閣@09/08-09/10;岸和田@09/26-09/28,,12,0,,4.8,
015095,遠藤 勝弥,A1,87.58,松阪@08/31-09/02;静岡@09/18-09/20,岐阜,12,0,,3.2,
015099,吉竹 尚城,A1,90.60,京王閣@09/08-09/10;防府@09/15-09/17,,15,0,,3.0,
015100,渡邊 颯太,A2,,,,0,0,,,
015101,松岡 晋乃介,A2,79.33,奈良@08/26-08/28;富山@09/10-09/12;高知@09/20-09/22;広島@09/28-09/30,,12,0,,5.4,
015102,奥出 良,A2,80.44,四日市@08/29-08/31;静岡@09/18-09/20;いわき平@09/27-09/29,,9,0,🥺,5.6,
015105,大崎 龍一郎,A3,72.71,松山@09/12-09/14;広島@09/20-09/22,松阪,7,1,,3.6,
015107,田頭 寛之,A1,86.08,伊東@09/07-09/09;青森@09/14-09/16,,12,0,,3.6,
015108,吉田 篤史,A2,85.50,富山@09/03-09/05;佐世保@09/12-09/14;玉野@09/27-09/29,,12,0,,4.0,
015109,大利 航平,A1,84.18,岸和田@08/27-08/29;立川@09/03-09/05;久留米@09/17-09/19,,11,0,,3.6,
015110,小出 慎也,A3,72.80,西武園@08/31-09/02;小松島@09/17-09/19,和歌,15,0,,3.0,
015111,布居 翼,A3,70.26,武雄@09/09-09/11;大垣@09/22-09/24,和歌,15,0,,4.6,
015112,日浦 崇道,A2,75.22,岐阜@08/30-09/01;岸和田@09/14-09/16;伊東@09/23-09/25,,9,0,🥺,7.0,
015114,谷口 友真,A1,88.53,いわき平@09/07-09/09;防府@09/15-09/17,和歌,12,0,,4.0,
015115,堀 僚介,A2,78.46,岐阜@08/30-09/01;大宮@09/13-09/15;青森@09/21-09/23,,15,0,,5.4,
015116,池野 健太,A1,95.60,防府@09/04-09/06;別府@09/16-09/18;小松島@09/23-09/25,松阪,15,0,,2.4,
015119,佐伯 辰哉,A1,75.33,久留米@09/05-09/07;伊東@09/23-09/25,,3,0,🥺,6.8,
015120,竹内 翼,A1,94.66,川崎@08/30-09/01;いわき平@09/07-09/09;高知@09/20-09/22,,9,0,🚀,1.4,
015126,高山 雄丞,A2,84.66,玉野@09/08-09/10;別府@09/16-09/18;伊東@09/23-09/25,,12,0,,4.6,
015131,池部 壮太,A1,85.66,玉野@09/02-09/04;武雄@09/27-09/29,松阪,12,0,,4.4,
015155,三浦 大輝,A3,75.83,伊東@09/02-09/04;いわき平@09/15-09/17;川崎@09/24-09/26,和歌,12,0,,3.6,
015156,門脇 翼,A2,78.83,松阪@08/31-09/02;四日市@09/09-09/11;青森@09/26-09/28,,12,0,,4.4,
015157,高橋 大輝,A2,81.25,川崎@08/30-09/01;立川@09/16-09/18;熊本@09/24-09/26,,12,0,,5.4,
015158,猪野 泰介,A3,67.00,弥彦@09/02-09/04;豊橋@09/11-09/13;川崎@09/24-09/26,青森,14,0,,4.6,
015159,坂本 拓也,A1,88.80,宇都宮@08/31-09/02;豊橋@09/11-09/13;いわき平@09/27-09/29,,15,0,,2.2,
015160,牧田 賢也,A3,70.26,伊東@09/02-09/04;川崎@09/17-09/19,,15,0,,4.6,
015162,蕗澤 鴻太郎,A1,94.22,岐阜@08/30-09/01;西武園@09/06-09/08;青森@09/21-09/23,,9,0,,3.2,
015163,戸塚 涼介,A2,82.60,京王閣@09/08-09/10;いわき平@09/27-09/29,,15,0,,4.0,
015164,菱沼 元樹,A3,75.44,いわき平@08/30-09/01;弥彦@09/07-09/09;大宮@09/21-09/23,,18,0,,4.4,
015165,寺沼 将彦,A1,90.53,伊東@09/07-09/09,,15,0,,3.4,
015166,内田 淳,A3,72.88,伊東@09/02-09/04;いわき平@09/15-09/17,和歌,9,0,,3.8,
015167,小林 裕一朗,A1,79.33,宇都宮@08/31-09/02;富山@09/10-09/12,和歌,6,0,,5.0,
015172,能代谷 元,A1,,伊東@09/07-09/09;弥彦@09/19-09/21,,0,0,,,
015175,桜井 大地,A2,81.53,玉野@09/08-09/10;青森@09/26-09/28,,15,0,,3.4,
015176,望月 一成,A1,93.83,宇都宮@08/31-09/02;青森@09/14-09/16,,12,0,,3.4,
015177,森川 康輔,,,,,12,0,,3.4,
015180,下岡 将也,A2,81.33,宇都宮@08/31-09/02;前橋@09/11-09/13;静岡@09/18-09/20,,12,0,,3.4,
015181,栗田 万生,A2,81.11,四日市@08/29-08/31;岸和田@09/14-09/16;青森@09/26-09/28,,9,0,,5.2,
015182,吉川 希望,A1,92.25,川崎@08/30-09/01;岸和田@09/14-09/16;立川@09/22-09/24,,12,0,,2.6,
015184,中野 雄喜,A1,93.00,西武園@08/31-09/02;前橋@09/11-09/13;岸和田@09/26-09/28,,11,0,,2.8,
015185,布居 大地,A2,83.88,松山@08/31-09/02;大垣@09/22-09/24,和歌,9,0,,3.8,
015187,鮫島 康治,A2,85.66,岸和田@08/27-08/29;久留米@09/05-09/07;大垣@09/22-09/24,,12,0,,4.4,
015188,浜田 翔平,A3,66.90,久留米@09/05-09/07;大垣@09/13-09/15;弥彦@09/24-09/26,宇都,10,1,,4.6,
015189,山本 隼人,A2,89.70,和歌山@08/30-09/01;富山@09/10-09/12;松山@09/19-09/21,,10,0,,3.8,
015190,大中 拓磨,A3,74.44,伊東@08/27-08/29;弥彦@09/02-09/04;豊橋@09/11-09/13,,18,1,,2.8,
015192,藤原 俊太郎,A1,85.27,玉野@09/02-09/04;別府@09/24-09/26,,11,0,,4.4,
015193,藏本 徹二,A1,92.00,玉野@08/26-08/28;高知@09/09-09/11;防府@09/29-10/01,,12,0,,3.0,
015194,船瀬 惇平,A1,92.26,玉野@09/08-09/10;青森@09/21-09/23,,15,0,,3.2,
015200,谷口 幸司,A2,82.36,奈良@08/26-08/28;いわき平@09/07-09/09;高知@09/20-09/22,,11,0,,3.6,
015202,今野 大輔,A1,96.41,小松島@08/27-08/29;防府@09/04-09/06;大宮@09/13-09/15;平塚@09/28-09/30,,12,0,🚀,2.0,
015204,吉田 智哉,A1,94.93,松山@08/31-09/02;大宮@09/13-09/15,,15,0,,3.2,
015208,金ヶ江 勇気,A1,92.60,武雄@09/03-09/05;久留米@09/17-09/19,防府,15,0,,3.8,
015209,中野 真吾,A2,75.62,小松島@08/27-08/29;立川@09/03-09/05;青森@09/14-09/16;武雄@09/27-09/29,,8,0,🥺,7.0,
015210,白濱 一平,A2,86.33,佐世保@09/12-09/14;弥彦@09/19-09/21,松阪,6,0,,4.0,
015212,山口 龍也,A1,88.00,奈良@08/26-08/28;佐世保@09/12-09/14;伊東@09/23-09/25,,9,0,,3.2,
015214,境 啓亨,A2,82.91,川崎@08/30-09/01;大垣@09/07-09/09;別府@09/24-09/26,,9,0,,3.6,
015215,照屋 将貴,A3,73.50,松山@09/12-09/14;広島@09/20-09/22,熊本,10,1,,3.8,
015233,渋谷 海,A1,82.66,いわき平@09/07-09/09;静岡@09/18-09/20;武雄@09/27-09/29,岐阜,9,0,,3.2,
015234,八嶋 稔真,A1,85.33,岸和田@08/27-08/29;立川@09/03-09/05;豊橋@09/11-09/13,,15,0,,4.8,
015237,太田 将成,A2,87.58,和歌山@08/30-09/01;高知@09/09-09/11;立川@09/16-09/18;岸和田@09/26-09/28,,12,0,,4.2,
015238,井寺 亮太,A1,81.44,玉野@08/26-08/28;久留米@09/05-09/07;熊本@09/24-09/26,,9,0,,5.2,
015240,前川 大輔,A1,92.33,松戸@09/01-09/03;前橋@09/11-09/13;青森@09/26-09/28,,12,0,,3.6,
015241,山田 祐太,A3,72.33,四日市@08/29-08/31;西武園@09/06-09/08;広島@09/20-09/22,,15,0,,3.6,
015245,尾崎 悠生,A1,87.66,小松島@08/27-08/29;前橋@09/11-09/13;大垣@09/22-09/24,,12,0,,3.4,
015247,小玉 勇一,A2,84.91,松戸@09/01-09/03;豊橋@09/11-09/13;大垣@09/22-09/24,,12,0,,3.2,
015253,清水 健次,A3,72.00,西武園@08/31-09/02;弥彦@09/07-09/09;大垣@09/22-09/24,,7,0,,2.6,
015254,鈴木 輝大,A1,93.80,豊橋@09/11-09/13;静岡@09/18-09/20;青森@09/26-09/28,,15,0,,2.4,
015255,樋口 開土,A1,81.46,前橋@09/11-09/13;小松島@09/23-09/25,高知,15,0,,5.0,
015257,舟山 佑京,A3,76.53,伊東@08/27-08/29;いわき平@09/15-09/17;大垣@09/22-09/24,,15,0,,2.8,
015259,小林 稜武,A1,91.44,松戸@09/01-09/03;前橋@09/11-09/13,,9,0,,4.6,
015260,國井 裕樹,A3,72.50,西武園@08/31-09/02;豊橋@09/11-09/13,和歌,12,0,,4.0,
015262,内山 雅貴,A1,97.86,小松島@08/27-08/29;前橋@09/11-09/13;大垣@09/22-09/24,,15,0,🚀,1.6,
015264,渡邉 直弥,A2,84.81,玉野@08/26-08/28;西武園@09/06-09/08;岐阜@09/13-09/15,,11,0,,3.6,
015265,井田 晶之,A2,80.68,四日市@09/09-09/11;別府@09/16-09/18;伊東@09/23-09/25,,16,0,,4.2,
015266,福田 真平,A1,81.00,岸和田@08/27-08/29;佐世保@09/12-09/14;防府@09/29-10/01,,3,0,,3.2,
015267,橋本 英也,A1,94.00,豊橋@09/04-09/06,,12,0,,3.0,
015270,元砂 海人,A3,72.66,静岡@08/30-09/01;武雄@09/16-09/18;奈良@09/24-09/26,,9,0,,4.2,
015271,大城 慶之,A2,85.50,四日市@09/09-09/11;佐世保@09/20-09/22;玉野@09/27-09/29,,12,0,,3.4,
015273,中武 三四郎,A2,84.22,別府@09/16-09/18;熊本@09/24-09/26,,15,0,,4.6,
015275,伊藤 歩登,A2,85.00,西武園@08/31-09/02;高知@09/09-09/11;久留米@09/17-09/19,和歌,9,0,,3.8,
015276,佐伯 亮輔,A1,96.75,立川@09/03-09/05;佐世保@09/20-09/22,高知,12,0,🚀,1.0,
015277,高井 流星,A2,88.86,小倉@08/28-08/30;いわき平@09/07-09/09;高知@09/20-09/22,,12,0,,2.8,
015278,田中 和磨,A1,93.23,防府@09/04-09/06;立川@09/22-09/24,,13,1,,4.2,
015279,山崎 駿哉,A2,86.33,京王閣@09/08-09/10;広島@09/28-09/30,,12,0,,4.4,
015280,藤井 將,A1,93.60,いわき平@09/15-09/17;熊本@09/24-09/26,,12,0,,2.8,
015281,増田 仁,A2,79.50,高知@09/09-09/11;久留米@09/17-09/19,岐阜,12,0,,5.0,
015283,安本 昇平,A3,70.53,川崎@09/10-09/12;小松島@09/17-09/19;奈良@09/24-09/26,,15,0,,3.4,
015284,田村 裕也,A2,75.41,大垣@09/07-09/09;小松島@09/23-09/25,防府,12,0,🥺,7.0,
015285,久樹 克門,A1,91.58,宇都宮@08/31-09/02;大垣@09/07-09/09;防府@09/29-10/01,岐阜,12,0,,4.4,
015286,土居 佑次,A3,69.66,武雄@09/09-09/11;小松島@09/17-09/19,,15,0,,4.0,
015287,山中 崇弘,A2,79.93,京王閣@09/08-09/10;佐世保@09/20-09/22,高知,15,0,,4.6,
015288,薦田 将伍,A1,94.14,玉野@09/08-09/10;伊東@09/23-09/25,,14,0,,3.0,
015290,真崎 章徳,A3,65.88,武雄@09/09-09/11;川崎@09/24-09/26,,9,0,,5.0,
015293,中里 福太郎,A2,81.77,岸和田@08/27-08/29;西武園@09/06-09/08;防府@09/15-09/17;平塚@09/28-09/30,,9,0,🥺,5.6,
015294,小原 亮哉,A1,86.16,久留米@09/17-09/19;岸和田@09/26-09/28,高知,12,0,,4.0,
015295,篠田 樹,A3,70.00,いわき平@08/30-09/01;京王閣@09/08-09/10;別府@09/24-09/26,,15,0,,4.0,
015299,曽我 圭佑,A1,92.16,玉野@09/02-09/04;大宮@09/13-09/15,,18,0,,4.4,
015300,ラモス レオ,A3,71.20,武雄@09/09-09/11;広島@09/20-09/22,,10,0,,4.4,
015327,阿部 架惟都,A1,91.40,松戸@09/01-09/03;四日市@09/09-09/11,,15,0,,3.6,
015330,伊藤 奎,A1,85.46,川崎@08/30-09/01;いわき平@09/07-09/09;熊本@09/24-09/26,,15,0,,3.6,
015331,宇佐見 優介,A1,93.86,四日市@08/29-08/31;富山@09/10-09/12;青森@09/26-09/28,,15,0,,4.0,
015332,鈴木 涼介,A1,93.00,宇都宮@08/31-09/02;高知@09/09-09/11,,11,1,,5.4,
015338,土田 栄二,A1,91.41,松戸@09/01-09/03;豊橋@09/11-09/13,,12,0,,2.8,
015339,土田 武志,A1,85.76,西武園@08/31-09/02;高知@09/09-09/11;立川@09/16-09/18,,13,1,,3.4,
015344,荒木 貴大,A1,91.40,防府@09/15-09/17;青森@09/26-09/28,,10,1,,3.6,
015345,浅見 隼,A1,88.06,小倉@08/28-08/30;豊橋@09/04-09/06;松山@09/19-09/21,,15,0,,4.2,
015346,鈴木 薫,A1,95.75,松阪@08/31-09/02;いわき平@09/07-09/09;弥彦@09/19-09/21,,12,0,,2.2,
015348,寺沼 伊織,A1,90.46,京王閣@09/08-09/10;いわき平@09/27-09/29,,15,0,,2.2,
015350,山本 修平,A2,85.08,松阪@09/05-09/07;いわき平@09/15-09/17;青森@09/26-09/28,,12,0,,4.8,
015351,宮下 一歩,A1,83.40,四日市@08/29-08/31;西武園@09/06-09/08;岐阜@09/13-09/15,,15,0,,5.4,
015353,松坂 侑亮,A1,87.61,西武園@08/31-09/02;玉野@09/08-09/10;立川@09/16-09/18,,15,0,,4.0,
015355,磯村 蓮太,A3,67.66,松山@09/12-09/14;大垣@09/22-09/24,宇都,12,0,,5.2,
015357,藤井 稜也,A2,79.60,立川@09/03-09/05;熊本@09/24-09/26,岐阜,15,0,🥺,6.4,
015359,山口 聖矢,A1,85.08,四日市@08/29-08/31;大垣@09/07-09/09;玉野@09/27-09/29,,9,0,,4.6,
015360,勝谷 勝治,A2,82.33,四日市@08/29-08/31;久留米@09/05-09/07;大垣@09/22-09/24,,15,0,,5.4,
015364,吉堂 将規,A1,94.22,奈良@08/26-08/28;岐阜@09/13-09/15;高知@09/20-09/22;玉野@09/27-09/29,,9,0,,2.6,
015365,古賀 勝大,A1,94.22,岐阜@08/30-09/01;大垣@09/07-09/09;防府@09/29-10/01,和歌,9,0,,,
015367,南 蓮,A3,68.83,西武園@08/31-09/02;岸和田@09/14-09/16,熊本,12,0,,3.8,
015368,井坂 泰誓,A3,71.80,静岡@08/30-09/01;西武園@09/06-09/08;大垣@09/22-09/24,,15,0,,4.2,
015371,田上 晃也,A3,80.16,小松島@09/17-09/19;奈良@09/24-09/26,,12,0,🚀,1.6,
015372,野上 竜太,A2,88.60,久留米@09/05-09/07;静岡@09/18-09/20,,15,0,,4.0,
