reg_no,name,grade,score,entries,racing_now,starts,dq,form_emoji,form_avg,retired
014418,安部 龍文,A3,74.13,弥彦@09/02-09/04;大垣@09/13-09/15,青森,15,0,🚀,2.0,
014422,前田 義和,A1,89.26,宇都宮@08/31-09/02;佐世保@09/20-09/22;玉野@09/27-09/29,,15,0,,2.6,
014424,大澤 哉太,A3,66.36,いわき平@08/30-09/01;大垣@09/13-09/15;広島@09/20-09/22;平塚@09/28-09/30,青森,11,0,,4.8,
014425,前川 裕希,A3,69.90,静岡@08/30-09/01;西武園@09/06-09/08;大宮@09/21-09/23,,10,0,,4.4,
014428,鹿内 翔,A1,87.77,松阪@08/31-09/02;伊東@09/07-09/09,和歌,9,0,,3.6,
014429,千澤 大輔,A3,70.66,松戸@09/01-09/03;武雄@09/16-09/18;弥彦@09/24-09/26,和歌,12,0,,3.0,
014430,橋本 祐司,A3,74.75,川崎@09/17-09/19;奈良@09/24-09/26,,12,0,,4.2,
014432,相澤 恵一,A3,72.00,静岡@08/30-09/01;武雄@09/09-09/11;広島@09/20-09/22,和歌,9,0,,4.0,
014433,長田 彰人,A3,68.50,伊東@09/02-09/04;松山@09/12-09/14,,14,0,,5.0,
014434,山崎 功也,A3,74.00,いわき平@08/30-09/01;京王閣@09/08-09/10;小松島@09/17-09/19;平塚@09/28-09/30,,9,0,,,
014438,緑川 修平,A2,79.16,岐阜@08/30-09/01;弥彦@09/07-09/09;青森@09/14-09/16;岸和田@09/26-09/28,,12,0,,5.2,
014439,山崎 司,A1,84.66,玉野@08/26-08/28;富山@09/03-09/05;いわき平@09/15-09/17,,12,0,,3.6,
014443,堀内 昇,A3,71.77,西武園@08/31-09/02;豊橋@09/11-09/13;広島@09/20-09/22,,9,0,,3.2,
014444,星野 辰也,A1,89.06,奈良@08/26-08/28;伊東@09/07-09/09;いわき平@09/27-09/29,,12,0,,3.4,
014446,菅藤 智,A3,67.00,松戸@09/01-09/03;岸和田@09/14-09/16;大垣@09/22-09/24,宇都,8,0,,4.8,
014447,三木 翔太,A3,71.58,西武園@08/31-09/02;いわき平@09/15-09/17;川崎@09/24-09/26,,12,0,,4.2,
014449,片折 勇輝,A2,79.50,青森@09/14-09/16;熊本@09/24-09/26,,14,0,,5.0,
014452,長井 優斗,A1,88.66,玉野@09/02-09/04;川崎@09/10-09/12;青森@09/26-09/28,,6,0,,4.6,
014454,上原 龍,A1,91.33,岸和田@08/27-08/29;伊東@09/07-09/09;立川@09/16-09/18,,12,0,,4.2,
014455,小野 裕次,A1,90.60,松阪@08/31-09/02;京王閣@09/08-09/10;いわき平@09/27-09/29,,15,0,,2.6,
014456,亀井 久幸,A2,80.22,松戸@09/01-09/03;川崎@09/17-09/19,,18,0,,4.6,
014457,北野 良栄,A2,81.46,富山@09/03-09/05;前橋@09/11-09/13,,15,0,,4.0,
